jogo ,liga,resultado,btts,goals_scoredA,goals_scoredB,avg_goals_scoredA,avg_goals_scoredB,goals_concededA,goals_concededB,avg_goals_concededA,avg_goals_concededB,avg_total_goalsA,avg_total_goalsB,over1_5A,over1_5B,over2_5A,over2_5B,over0_5_htA,over0_5_htB,over1_5_htA,over1_5_htB
Corinthians vs Sport,brasil,a,nao,35.00,24.00,1.21,0.80,34.00,38.00,1.17,1.27,2.38,2.07,0.66,0.47,0.48,0.30,0.76,0.63,0.31,0.20
Juventude vs Figueirense,brasilB,a,sim,49.00,32.00,1.36,0.89,41.00,40.00,1.14,1.11,2.50,2.00,0.61,0.58,0.47,0.39,0.69,0.56,0.31,0.31
CSA vs Brasil de Pelotas,brasilB,x,sim,48.00,30.00,1.33,0.83,35.00,31.00,0.97,0.86,2.31,1.69,0.67,0.50,0.47,0.33,0.78,0.44,0.44,0.28
Aston Villa vs Newcastle,inglaterra,a,nao,29.00,18.00,1.81,1.00,18.00,30.00,1.13,1.67,2.94,2.67,0.75,0.89,0.62,0.44,0.62,0.56,0.25,0.17
Roma vs Spezia,italia,a,sim,37.00,23.00,2.06,1.28,29.00,32.00,1.61,1.78,3.67,3.06,0.83,0.83,0.78,0.78,0.83,0.67,0.50,0.44
Milan vs Atalanta,italia,b,nao,39.00,41.00,2.17,2.28,19.00,23.00,1.06,1.28,3.22,3.56,1.00,0.89,0.67,0.67,0.89,0.78,0.44,0.44
Udinese vs Inter Milan,italia,x,nao,20.00,45.00,1.11,2.50,28.00,23.00,1.56,1.28,2.67,3.78,0.72,0.94,0.50,0.72,0.72,0.67,0.33,0.39
Fiorentina vs Crotone,italia,a,sim,18.00,21.00,1.00,1.17,29.00,41.00,1.61,2.28,2.61,3.44,0.72,0.83,0.44,0.67,0.67,0.89,0.39,0.61
Huesca vs Villareal,espanha,x,nao,14.00,28.00,0.74,1.47,29.00,19.00,1.53,1.00,2.26,2.47,0.68,0.84,0.26,0.47,0.63,0.79,0.11,0.47
Sevilla vs Cadiz,espanha,a,nao,23.00,17.00,1.28,0.89,16.00,24.00,0.89,1.26,2.17,2.16,0.56,0.68,0.28,0.32,0.50,0.63,0.22,0.26
Sociedad vs Betis,espanha,x,sim,29.00,24.00,1.53,1.26,16.00,32.00,0.84,1.68,2.37,2.95,0.74,0.89,0.42,0.42,0.68,0.63,0.32,0.47
Alaves vs Real Madrid,espanha,b,sim,17.00,30.00,0.89,1.67,25.00,15.00,1.32,0.83,2.21,2.50,0.74,0.72,0.42,0.39,0.63,0.72,0.32,0.28
Lens vs Nice,franca,b,nao,30.00,22.00,1.50,1.16,29.00,28.00,1.45,1.47,2.95,2.63,0.80,0.84,0.50,0.58,0.85,0.74,0.30,0.47
Monaco vs Marseille,franca,a,sim,39.00,26.00,1.95,1.37,29.00,19.00,1.45,1.00,3.40,2.37,0.85,0.74,0.80,0.42,0.90,0.58,0.50,0.32
Bielefeld vs E. Frankfurt,alemanha,b,sim,13.00,30.00,0.76,1.76,24.00,26.00,1.41,1.53,2.18,3.29,0.59,1.00,0.41,0.59,0.47,0.76,0.24,0.47
Augsburg vs Union Berlin,alemanha,a,sim,17.00,32.00,1.00,1.88,26.00,21.00,1.53,1.24,2.53,3.12,0.76,0.88,0.41,0.59,0.65,0.65,0.12,0.35
Freiburg vs Stuttgart,alemanha,a,sim,31.00,32.00,1.82,1.88,28.00,27.00,1.65,1.59,3.47,3.47,1.00,0.88,0.65,0.65,0.82,0.88,0.59,0.47
Mainz vs Leipzig,alemanha,a,sim,15.00,29.00,0.88,1.71,36.00,14.00,2.12,0.82,3.00,2.53,0.76,0.71,0.53,0.47,0.71,0.65,0.41,0.41
Leverkusen vs Wolfsburg,alemanha,b,nao,32.00,26.00,1.88,1.53,17.00,19.00,1.00,1.12,2.88,2.65,0.76,0.82,0.59,0.47,0.76,0.59,0.41,0.59
Hertha Berlin vs Werder Bremen,alemanha,b,sim,23.00,19.00,1.35,1.12,28.00,25.00,1.65,1.47,3.00,2.59,0.76,0.82,0.59,0.29,0.71,0.65,0.24,0.47
Benfica vs Nacional ,portugal,x,sim,29.00,12.00,2.07,0.86,14.00,19.00,1.00,1.36,3.07,2.21,1.00,0.64,0.57,0.36,0.86,0.57,0.43,0.36
Boavista vs Sporting,portugal,b,nao,14.00,31.00,1.00,2.21,24.00,9.00,1.71,0.64,2.71,2.86,0.71,0.93,0.50,0.57,0.57,0.79,0.36,0.50
Farense vs Porto,portugal,b,nao,15.00,36.00,1.15,2.57,19.00,17.00,1.46,1.21,2.62,3.79,0.69,0.86,0.38,0.71,0.54,0.93,0.23,0.71
Braga vs Gil Vicente,portugal,a,nao,23.00,10.00,1.64,0.71,15.00,16.00,1.07,1.14,2.71,1.86,0.71,0.57,0.57,0.29,0.71,0.50,0.36,0.07
QPR vs Derby County,inglaterraB,b,nao,23.00,15.00,0.96,0.63,30.00,25.00,1.25,1.04,2.21,1.67,0.75,0.50,0.29,0.17,0.54,0.50,0.33,0.17
Sao Paulo vs Coritiba,brasil,x,sim,51.00,26.00,1.65,0.84,33.00,42.00,1.06,1.35,2.71,2.19,0.77,0.52,0.52,0.45,0.77,0.74,0.35,0.35
Cuiaba vs Sampaio Correa,brasilB,b,sim,46.00,46.00,1.28,1.28,33.00,37.00,0.92,1.03,2.19,2.31,0.64,0.61,0.36,0.50,0.58,0.69,0.22,0.28
Confinaca vs America MG,brasilB,x,nao,37.00,41.00,1.03,1.14,43.00,22.00,1.19,0.61,2.22,1.75,0.64,0.50,0.33,0.36,0.67,0.61,0.22,0.25
Avai vs Guarani,brasilB,a,sim,42.00,40.00,1.17,1.11,46.00,45.00,1.28,1.25,2.44,2.36,0.67,0.69,0.42,0.44,0.67,0.81,0.25,0.36
Juventus vs Bologna,italia,a,nao,35.00,24.00,2.06,1.33,18.00,31.00,1.06,1.72,3.12,3.06,1.00,0.72,0.59,0.56,0.82,0.78,0.41,0.44
Genoa vs Cagliari,italia,a,nao,18.00,23.00,1.00,1.28,30.00,36.00,1.67,2.00,2.67,3.28,0.83,0.89,0.50,0.50,0.56,0.78,0.22,0.33
Hellas Verona vs Napoli,italia,a,sim,22.00,40.00,1.22,2.35,17.00,16.00,0.94,0.94,2.17,3.29,0.72,0.88,0.39,0.65,0.61,0.71,0.22,0.18
Lazio vs Sassuolo,italia,a,sim,30.00,31.00,1.67,1.72,25.00,27.00,1.39,1.50,3.06,3.22,1.00,0.83,0.56,0.56,0.89,0.67,0.44,0.33
Parma vs Sampdoria,italia,b,nao,14.00,28.00,0.78,1.56,34.00,29.00,1.89,1.61,2.67,3.17,0.78,0.94,0.61,0.83,0.67,0.83,0.33,0.39
Osasuna vs Granada,espanha,a,sim,16.00,23.00,0.84,1.21,28.00,31.00,1.47,1.63,2.32,2.84,0.74,0.84,0.32,0.42,0.63,0.79,0.26,0.53
Elche vs Barcelona,espanha,b,nao,16.00,37.00,0.94,2.06,23.00,17.00,1.35,0.94,2.29,3.00,0.71,0.78,0.41,0.61,0.82,0.83,0.29,0.56
Celta Vigo vs Eibar,espanha,x,sim,23.00,16.00,1.21,0.84,30.00,20.00,1.58,1.05,2.79,1.89,0.95,0.68,0.47,0.37,0.84,0.53,0.42,0.26
Atletico Madrid vs Valencia,espanha,a,sim,33.00,25.00,1.94,1.32,7.00,26.00,0.41,1.37,2.35,2.68,0.71,0.74,0.35,0.53,0.65,0.68,0.12,0.37
Bordeaux vs Angers,franca,a,sim,23.00,25.00,1.15,1.25,21.00,31.00,1.05,1.55,2.20,2.80,0.70,0.75,0.50,0.50,0.55,0.75,0.40,0.55
Dijon vs Strasbourg,franca,x,sim,12.00,29.00,0.63,1.45,26.00,32.00,1.37,1.60,2.00,3.05,0.58,0.80,0.30,0.55,0.74,0.80,0.26,0.35
Metz vs Nantes,franca,a,nao,21.00,20.00,1.05,1.00,18.00,32.00,0.90,1.60,1.95,2.60,0.65,0.90,0.20,0.50,0.65,0.80,0.25,0.35
Reims vs Brest,franca,a,nao,28.00,31.00,1.40,1.55,31.00,36.00,1.55,1.80,2.95,3.35,0.75,0.90,0.65,0.75,0.80,0.90,0.40,0.55
Rennes vs Lille,franca,b,nao,30.00,35.00,1.50,1.75,22.00,15.00,1.10,0.75,2.60,2.50,0.80,0.80,0.60,0.45,0.85,0.75,0.25,0.20
Saint-Etienne vs Lyon,franca,b,nao,20.00,39.00,1.00,1.95,30.00,19.00,1.50,0.95,2.50,2.90,0.80,0.75,0.45,0.60,0.85,0.75,0.35,0.35
Schalke 04 vs Bayern,alemanha,b,nao,14.00,49.00,0.82,2.88,44.00,25.00,2.59,1.47,3.41,4.35,0.94,0.94,0.71,0.82,0.76,1.00,0.41,0.71
Hoffenheim vs Koln,alemanha,a,nao,25.00,15.00,1.47,0.88,30.00,28.00,1.76,1.65,3.24,2.53,0.82,0.71,0.71,0.53,0.76,0.65,0.47,0.47
Maritimo vs Paços Ferreira,portugal,b,nao,16.00,19.00,1.14,1.36,18.00,12.00,1.29,0.86,2.43,2.21,0.71,0.86,0.64,0.21,0.57,0.64,0.36,0.07
Moreirense vs Portimonense,portugal,x,sim,11.00,10.00,0.79,0.71,15.00,17.00,1.07,1.21,1.86,1.93,0.64,0.57,0.29,0.36,0.64,0.57,0.21,0.21
Famalicao vs Guimaraes,portugal,b,nao,16.00,18.00,1.14,1.38,25.00,13.00,1.79,1.00,2.93,2.38,0.71,0.54,0.57,0.46,0.64,0.69,0.36,0.38
Preston vs Reading,inglaterraB,x,nao,31.00,37.00,1.24,1.54,33.00,28.00,1.32,1.17,2.56,2.71,0.68,0.79,0.52,0.58,0.60,0.67,0.16,0.38
Middlesbrough vs Blackburn,inglaterraB,b,nao,30.00,39.00,1.25,1.63,20.00,28.00,0.83,1.17,2.08,2.79,0.58,0.79,0.42,0.58,0.62,0.67,0.25,0.29
Darmstadt vs Kiel,alemanhaB,b,nao,27.00,26.00,1.69,1.63,30.00,17.00,1.88,1.06,3.56,2.69,0.94,0.81,0.81,0.50,0.62,0.62,0.31,0.38
Nurnberg vs Hannover 96,alemanhaB,b,sim,23.00,23.00,1.44,1.44,23.00,18.00,1.44,1.13,2.88,2.56,0.81,0.69,0.44,0.56,0.88,0.69,0.44,0.12
Sandhausen vs Bochum,alemanhaB,x,sim,17.00,31.00,1.06,1.94,34.00,16.00,2.13,1.00,3.19,2.94,0.81,0.88,0.69,0.62,0.81,0.69,0.56,0.38
S. Pauli vs Regensburg,alemanhaB,a,nao,21.00,21.00,1.31,1.31,30.00,23.00,1.88,1.44,3.19,2.75,0.88,0.75,0.69,0.56,0.88,0.69,0.31,0.44
Vasco vs Atletico MG,brasil,a,sim,30.00,52.00,1.00,1.73,44.00,38.00,1.47,1.27,2.47,3.00,0.73,0.83,0.50,0.67,0.70,0.90,0.27,0.33
Athletico PR vs Flamengo,brasil,a,sim,27.00,52.00,0.87,1.73,30.00,39.00,0.97,1.30,1.84,3.03,0.52,0.83,0.29,0.57,0.65,0.73,0.29,0.33
Ceara vs Palmeiras,brasil,a,sim,45.00,43.00,1.45,1.43,41.00,28.00,1.32,0.93,2.77,2.37,0.87,0.83,0.48,0.40,0.65,0.63,0.35,0.30
Internacional vs Gremio,brasil,a,sim,53.00,39.00,1.71,1.30,29.00,25.00,0.94,0.83,2.65,2.13,0.77,0.73,0.42,0.40,0.71,0.70,0.42,0.13
Atletico GO vs Fortaleza,brasil,a,nao,30.00,28.00,0.97,0.90,37.00,30.00,1.19,0.97,2.16,1.87,0.71,0.58,0.39,0.32,0.65,0.55,0.13,0.23
Santos vs Goias,brasil,b,sim,41.00,29.00,1.37,0.94,38.00,51.00,1.27,1.65,2.63,2.58,0.73,0.74,0.47,0.55,0.67,0.84,0.40,0.35
Sport vs Bahia,brasil,a,nao,24.00,36.00,0.77,1.20,41.00,51.00,1.32,1.70,2.10,2.90,0.48,0.80,0.32,0.57,0.65,0.73,0.19,0.30
Fluminense vs Botafogo,brasil,a,nao,43.00,27.00,1.39,0.87,40.00,49.00,1.29,1.58,2.68,2.45,0.74,0.81,0.55,0.55,0.84,0.65,0.29,0.29
Cruzeiro vs Nautico,brasilB,x,nao,39.00,34.00,1.08,0.94,32.00,41.00,0.89,1.14,1.97,2.08,0.53,0.64,0.33,0.33,0.67,0.53,0.31,0.19
Ponte Preta vs CRB,brasilB,a,sim,44.00,43.00,1.22,1.19,46.00,43.00,1.28,1.19,2.50,2.39,0.78,0.67,0.53,0.44,0.75,0.61,0.33,0.28
Athletic Bilbao vs Getafe,espanha,a,sim,21.00,16.00,1.17,0.89,22.00,18.00,1.22,1.00,2.39,1.89,0.72,0.50,0.39,0.33,0.61,0.67,0.11,0.28
Belenenses vs Tondela,portugal,a,nao,6.00,13.00,0.43,0.93,12.00,23.00,0.86,1.64,1.29,2.57,0.43,0.79,0.21,0.36,0.43,0.71,0.14,0.21
Rio Ave vs Santa Clara,portugal,b,sim,10.00,13.00,0.71,0.93,16.00,18.00,1.14,1.29,1.86,2.21,0.71,0.71,0.29,0.43,0.71,0.71,0.07,0.29
Corinthians vs Bragantino,brasil,b,nao,38.00,43.00,1.27,1.39,34.00,37.00,1.13,1.19,2.40,2.58,0.67,0.84,0.50,0.52,0.77,0.61,0.30,0.32
Operario PR vs Chapecoense,brasilB,a,nao,37.00,39.00,1.03,1.08,34.00,18.00,0.94,0.50,1.97,1.58,0.61,0.44,0.31,0.19,0.58,0.42,0.22,0.19
Crystal Palace vs West Ham,inglaterra,b,sim,22.00,27.00,1.16,1.42,33.00,22.00,1.74,1.16,2.89,2.58,0.84,0.74,0.47,0.58,0.79,0.74,0.32,0.32
Newcastle vs Leeds,inglaterra,b,sim,18.00,30.00,0.95,1.67,32.00,34.00,1.68,1.89,2.63,3.56,0.89,0.67,0.42,0.61,0.58,0.72,0.21,0.56
Southampton vs Arsenal,inglaterra,b,sim,26.00,23.00,1.44,1.21,21.00,19.00,1.17,1.00,2.61,2.21,0.67,0.63,0.33,0.53,0.83,0.58,0.33,0.37
West Brom vs M. City,inglaterra,b,nao,15.00,31.00,0.79,1.72,43.00,13.00,2.26,0.72,3.05,2.44,0.79,0.72,0.53,0.28,0.79,0.89,0.42,0.39
Bristol vs Huddersfield,inglaterraB,a,sim,25.00,28.00,1.04,1.12,26.00,35.00,1.08,1.40,2.13,2.52,0.67,0.76,0.38,0.52,0.62,0.68,0.21,0.32
Millwall vs Watford,inglaterraB,x,nao,21.00,30.00,0.88,1.20,24.00,18.00,1.00,0.72,1.88,1.92,0.71,0.52,0.29,0.24,0.58,0.60,0.21,0.20
Atlético MG vs Santos,brasil,a,nao,54.00,44.00,1.74,1.42,41.00,42.00,1.32,1.35,3.06,2.77,0.84,0.74,0.68,0.48,0.90,0.68,0.35,0.42
Palmeiras vs Vasco,brasil,x,sim,44.00,33.00,1.42,1.06,30.00,46.00,0.97,1.48,2.39,2.55,0.84,0.74,0.42,0.52,0.65,0.71,0.32,0.29
Oeste vs Parana,brasilB,a,nao,27.00,34.00,0.75,0.94,59.00,49.00,1.64,1.36,2.39,2.31,0.69,0.69,0.50,0.39,0.67,0.61,0.39,0.31
Burnley vs Aston Villa,inglaterra,a,sim,10.00,31.00,0.56,1.82,22.00,18.00,1.22,1.06,1.78,2.88,0.33,0.76,0.28,0.59,0.61,0.65,0.17,0.29
Chelsea vs Wolverhampton,inglaterra,x,nao,33.00,21.00,1.74,1.11,23.00,29.00,1.21,1.53,2.95,2.63,0.79,0.74,0.58,0.47,0.68,0.63,0.37,0.37
Brighton vs Fulham,inglaterra,x,nao,22.00,15.00,1.16,0.83,29.00,27.00,1.53,1.50,2.68,2.33,0.74,0.72,0.53,0.39,0.74,0.67,0.32,0.39
Everton vs Leicester,inglaterra,x,sim,28.00,35.00,1.65,1.84,21.00,21.00,1.24,1.11,2.88,2.95,0.71,0.84,0.53,0.58,0.71,0.74,0.59,0.53
Manchester Utd vs Sheffield,inglaterra,b,sim,36.00,10.00,1.89,0.53,25.00,32.00,1.32,1.68,3.21,2.21,0.63,0.58,0.63,0.37,0.63,0.58,0.47,0.37
Barnsley vs Cardiff,inglaterraB,x,sim,27.00,30.00,1.08,1.25,32.00,28.00,1.28,1.17,2.36,2.42,0.76,0.75,0.52,0.42,0.72,0.79,0.32,0.29
Coventry vs Sheffield Wed,inglaterraB,a,nao,22.00,15.00,0.92,0.65,34.00,23.00,1.42,1.00,2.33,1.65,0.71,0.57,0.46,0.22,0.54,0.48,0.29,0.30
Middlesbrough vs Rotherham,inglaterraB,b,nao,30.00,23.00,1.20,1.05,21.00,32.00,0.84,1.45,2.04,2.50,0.56,0.73,0.40,0.45,0.60,0.59,0.24,0.36
Swansea vs Brentford,inglaterraB,x,sim,29.00,37.00,1.21,1.61,13.00,21.00,0.54,0.91,1.75,2.52,0.71,0.74,0.17,0.48,0.71,0.65,0.21,0.39
Vitoria vs Botafogo SP,brasilB,a,nao,43.00,26.00,1.19,0.72,45.00,37.00,1.25,1.03,2.44,1.75,0.64,0.53,0.50,0.28,0.72,0.50,0.36,0.11
